step,magnitude,direction_x,direction_y,direction_z,episode
0,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,1
2,9.644988018977433,2.6022583961722622e-18,-2.4437281165412053e-17,-0.999999998963192,1
3,6.031153261816566,1.4341902069452176e-19,-3.711299523849205e-18,-0.9999999983419423,1
4,5.092700307636507,1.3351525354923028e-16,-6.310498302218374e-18,-0.9999999980364052,1
5,4.861740955112506,-1.6219449168069127e-16,-7.332571145840009e-18,-0.9999999979431237,1
6,4.815745992245594,2.6022747766412557e-16,-2.4480732697593414e-18,-0.9999999979234785,1
7,4.816921331523269,2.8388026321613413e-16,-2.102749730203306e-17,-0.9999999979239852,1
8,4.829662914334215,-1.53387357439633e-16,-6.645402516346093e-18,-0.9999999979294621,1
9,4.842922427211208,-1.1011332602216485e-16,-3.0039281928815427e-18,-0.9999999979351311,1
10,4.854113232707782,-2.794951380808348e-17,-6.8269859786025915e-18,-0.9999999979398915,1
11,4.863149495362557,8.545816125047186e-17,-1.5929747805061028e-18,-0.9999999979437194,1
12,4.870414307528515,-2.7014240283286494e-16,-3.2025239160041403e-18,-0.9999999979467866,1
13,4.876290727378535,3.2640690527254955e-16,1.3868828004025874e-18,-0.999999997949261,1
14,4.881081585867556,3.5278048593738285e-16,-2.172610132155225e-18,-0.9999999979512738,1
15,4.885015262773168,-2.049896729966882e-16,6.068088635785592e-18,-0.9999999979529235,1
16,4.888264017864337,1.8622313988215872e-16,-1.0237431741115288e-18,-0.999999997954284,1
17,4.890959577404873,1.3207579328649226e-16,-1.3365378856664602e-18,-0.9999999979554115,1
18,4.8932043224596224,-1.615869577915424e-16,-2.1229127851767484e-18,-0.9999999979563494,1
19,4.8950790344977655,-1.0261021630335192e-16,1.2977579715841296e-18,-0.9999999979571321,1
20,4.896648277303965,-2.2935700382710954e-17,4.149204294062804e-18,-0.9999999979577867,1
21,4.897964202511884,-1.439438888054947e-16,7.350325659154061e-18,-0.9999999979583355,1
22,4.899069299335973,-9.859516081407986e-17,4.7456671921818516e-18,-0.999999997958796,1
23,4.8999984251845214,-1.4280514242382282e-16,8.110965696414565e-18,-0.999999997959183,1
24,4.900780335933849,-8.085653247335976e-17,1.0343384256582935e-17,-0.9999999979595087,1
25,4.901438860224362,-1.7814359123246716e-17,1.1065464682309165e-17,-0.9999999979597828,1
26,4.901993814918457,-4.410443972648405e-18,1.3427631219376538e-17,-0.9999999979600137,1
27,4.902461728478012,-9.17787006495246e-19,6.367543894675045e-18,-0.9999999979602084,1
28,4.902856419125678,3.989105071061141e-16,1.1842282447556526e-17,-0.9999999979603726,1
29,4.903189461379432,-5.09872875795173e-17,1.208961708989866e-17,-0.9999999979605112,1
30,4.903470565517241,-1.1696529444872907e-17,1.4355949504719905e-17,-0.9999999979606281,1
