#{"t_start": 1755100686.0050862, "env_id": "None"}
r,l,t
3.953365,100,2.081709
4.09065,100,2.449169
703.785415,100,2.824904
3.890187,100,3.211325
4.072218,100,3.580793
3.989873,100,3.964279
4.263761,100,4.349941
4.111726,100,4.741243
0.951658,100,5.101085
4.200294,100,5.476708
6.040569,100,5.857043
731.230838,100,6.219889
5.066336,100,6.594902
1.495401,100,6.94956
3.048124,100,7.324613
880.993379,100,7.676492
1.242418,100,8.032314
4.425457,100,8.404751
6.219914,100,8.787077
2.347816,100,9.152995
562.550674,100,10.848979
2.676068,100,11.228851
2.049715,100,11.581431
44.159709,100,11.946585
3.782463,100,12.306866
4.580053,100,12.670455
741.278393,100,13.034627
7.690774,100,13.415274
1.68032,100,13.789771
473.356695,100,14.196508
4.440469,100,14.560526
800.861247,100,14.913028
3.514829,100,15.286476
2.468295,100,15.673629
2.260163,100,16.032853
2.773757,100,16.411247
3.820255,100,16.802981
5.259193,100,17.187642
4.386769,100,17.562297
7.745175,100,17.991872
2.40949,100,19.320718
93.814144,100,19.690862
3.533105,100,20.086234
3.655305,100,20.470102
3.488938,100,20.848095
362.65625,100,21.211983
5.276094,100,21.59024
6.481106,100,21.965058
3.681526,100,22.341397
363.655437,100,22.710745
333.555491,100,23.102976
3.381054,100,23.479142
2.458113,100,23.854594
64.174822,100,24.232512
263.682068,100,24.606445
3.247989,100,24.97635
3.496969,100,25.359401
2.2915,100,25.738907
6.405899,100,26.125453
562.543392,100,26.487052
3.943516,100,26.871086
820.798761,100,28.006176
2.004618,100,28.386333
1.903909,100,28.738428
442.951079,100,29.119195
4.797166,100,29.531456
1.730901,100,29.879894
2.822685,100,30.259116
3.211916,100,30.636154
780.795042,100,31.00562
2.00602,100,31.365217
32.523519,100,31.714705
3.304969,100,32.126135
3.177641,100,32.498739
193.329255,100,32.865999
173.738689,100,33.249447
4.778299,100,33.625163
3.853846,100,33.99309
4.161589,100,34.354082
4.238947,100,34.728119
3.65762,100,35.103934
1.849047,100,36.39996
72.288493,100,36.787118
7.200416,100,37.179849
3.83445,100,37.546332
223.423764,100,37.923256
274.762388,100,38.28394
4.823794,100,38.647994
542.581195,100,39.01647
7.872276,100,39.388622
140.590371,100,39.745527
301.743095,100,40.108881
144.280978,100,40.472416
2.601551,100,40.842564
1.144043,100,41.200983
123.525429,100,41.565609
3.609503,100,41.941678
3.679276,100,42.329756
5.332237,100,42.713745
3.558494,100,43.114607
7.0086,100,47.08295
4.664146,100,47.498964
641.489695,100,48.796508
1.045251,100,49.152205
850.824668,100,49.502334
711.159248,100,49.85785
5.133584,100,50.236919
143.3109,100,50.617833
2.725421,100,50.99604
2.989599,100,51.371908
215.431559,100,51.74477
4.136776,100,52.116493
4.581151,100,52.488681
4.920119,100,52.862016
3.227794,100,53.229022
4.566234,100,53.60957
133.251796,100,53.98555
3.418809,100,54.348412
6.711453,100,54.721754
262.62925,100,55.086693
5.240986,100,55.46016
3.54297,100,55.84276
6.10058,100,57.132412
2.908339,100,57.515354
22.756521,100,57.891696
1.936711,100,58.282419
402.295107,100,58.668419
721.423888,100,59.040832
1.909096,100,59.417169
5.853381,100,59.789032
413.329718,100,60.161822
661.264833,100,60.505576
3.978056,100,60.884659
851.142125,100,61.23894
5.63024,100,61.637918
5.593127,100,62.035029
0.974821,100,62.406258
173.85056,100,62.793465
920.700539,100,63.157579
4.666475,100,63.521956
6.619692,100,63.899247
4.548399,100,64.274126
4.768597,100,64.655664
0.692488,100,65.929422
85.739698,100,66.296086
105.643701,100,66.668195
53.870986,100,67.049174
94.201441,100,67.42417
6.982302,100,67.804308
4.393356,100,68.192149
0.684734,100,68.544814
603.144748,100,68.901856
1.293038,100,69.259567
612.664858,100,69.629703
770.661583,100,69.985861
1.654398,100,70.338368
910.5929,100,70.695478
3.102256,100,71.076799
840.552945,100,71.444875
911.152627,100,71.800971
3.650143,100,72.16462
651.927799,100,72.528555
3.498143,100,72.915837
2.903961,100,74.180346
5.175534,100,74.556534
2.475634,100,74.928585
4.668111,100,75.297829
461.182574,100,75.646083
5.480072,100,76.023589
682.328051,100,76.37267
2.95763,100,76.733709
6.516171,100,77.124803
1.729587,100,77.485509
671.397026,100,77.846666
432.154184,100,78.211505
0.771874,100,78.558413
2.757883,100,78.948658
702.195652,100,79.315127
401.976723,100,79.683228
501.704279,100,80.040359
5.689104,100,80.408834
761.347757,100,80.782639
3.936982,100,81.160803
125.728805,100,81.541173
870.443089,100,82.671362
353.966993,100,83.042454
1.01384,100,83.40008
4.067374,100,83.795192
1.4711,100,84.152551
3.820275,100,84.53281
3.35144,100,84.908713
125.461548,100,85.294866
6.083241,100,85.686151
3.143399,100,86.093963
552.386906,100,86.467392
4.524007,100,86.872111
4.355112,100,87.25486
2.184312,100,87.617602
4.169093,100,88.007919
532.998386,100,88.376778
2.525325,100,92.320716
1.97556,100,92.711015
611.772247,100,93.076574
4.609154,100,93.461497
4.309698,100,94.639686
444.093183,100,94.999431
5.268759,100,95.371985
601.835881,100,95.731422
702.120975,100,96.080962
4.510154,100,96.463716
4.19634,100,96.869787
551.817992,100,97.252496
1.428503,100,97.637409
6.792851,100,98.045103
5.215805,100,98.448359
632.076978,100,98.837961
781.011201,100,99.214113
2.507066,100,99.598425
454.635824,100,99.989893
2.505989,100,100.389176
2.226462,100,100.773948
4.686349,100,101.165411
820.831118,100,101.533057
6.838883,100,101.914089
2.049129,100,102.268632
3.965856,100,103.496559
3.640857,100,103.883249
3.621369,100,104.271626
820.478203,100,104.6371
870.341638,100,104.997351
5.232011,100,105.381531
4.709548,100,105.764381
2.698092,100,106.143747
3.425753,100,106.532463
213.067231,100,106.914364
4.087348,100,107.306061
4.110578,100,107.696044
571.618971,100,108.079201
5.860989,100,108.462473
3.517288,100,108.829657
800.829321,100,109.208509
2.594507,100,109.578706
5.800998,100,109.957799
5.990444,100,110.345188
582.969406,100,110.711251
4.803355,100,111.961268
343.871253,100,112.336724
0.586778,100,112.69926
2.56432,100,113.061482
952.012987,100,113.411978
2.782909,100,113.79589
830.641076,100,114.183889
2.842963,100,114.545754
741.095658,100,114.900091
1.167606,100,115.245922
13.090898,100,115.637672
741.070863,100,116.001591
3.113571,100,116.372817
680.744381,100,116.725798
940.249393,100,117.068664
602.32972,100,117.42099
1.748509,100,117.782058
920.420353,100,118.134187
10.250036,100,118.509077
3.606038,100,118.866573
3.913684,100,119.253187
13.527823,100,120.53801
424.029308,100,120.891712
2.847471,100,121.249688
3.077258,100,121.636976
4.546244,100,122.006757
800.835624,100,122.368983
791.087103,100,122.721009
3.454009,100,123.084244
562.258061,100,123.472929
2.944331,100,123.86925
0.649407,100,124.223558
13.475185,100,124.593194
252.785076,100,124.96922
611.172704,100,125.326052
731.300192,100,125.683
551.490668,100,126.049695
4.233126,100,126.426399
521.783612,100,126.794961
333.72117,100,127.144789
830.897978,100,127.501929
821.033649,100,128.757557
3.717626,100,129.122283
4.290299,100,129.501124
31.493119,100,129.858258
2.076289,100,130.222691
612.40588,100,130.583168
5.169726,100,130.965038
791.299599,100,131.320876
75.893391,100,131.699139
293.246127,100,132.076183
830.650882,100,132.431656
2.891945,100,132.79855
811.491197,100,133.153416
950.239448,100,133.504032
602.285844,100,137.217521
5.346923,100,137.590654
2.90057,100,137.96504
2.755203,100,138.355151
103.947943,100,138.718065
2.967658,100,139.095984
4.337462,100,139.483326
881.067317,100,140.621245
5.276054,100,140.998108
3.469217,100,141.362044
134.8374,100,141.729715
1.38935,100,142.07812
3.293242,100,142.465256
772.839827,100,142.827189
6.828616,100,143.205433
174.266783,100,143.587626
861.237882,100,143.939715
5.38826,100,144.323203
642.064547,100,144.687145
552.414425,100,145.055936
830.799872,100,145.416644
870.907578,100,145.791052
265.163079,100,146.153967
3.537302,100,146.544376
2.071298,100,146.903609
0.950164,100,147.262275
2.068298,100,147.622162
1.493601,100,148.900856
850.519184,100,149.256271
3.33432,100,149.641423
4.047423,100,150.01863
910.600517,100,150.367585
3.675392,100,150.742728
7.285186,100,151.121071
3.729636,100,151.497063
283.246747,100,151.869542
401.827643,100,152.227152
213.699436,100,152.589785
2.154639,100,152.939329
950.354114,100,153.280625
682.314874,100,153.63041
24.387656,100,153.993651
6.142681,100,154.37949
0.803374,100,154.725635
0.870082,100,155.095461
703.923409,100,155.465386
592.513325,100,155.822659
860.755975,100,156.177054
3.721402,100,157.483583
4.799038,100,157.884104
2.671832,100,158.260344
810.792125,100,158.624363
1.714928,100,158.986768
1.407866,100,159.341091
0.808676,100,159.694063
1.956295,100,160.045397
622.330948,100,160.407284
5.642899,100,160.773922
4.332258,100,161.149957
4.400653,100,161.529483
701.234864,100,161.884514
276.052095,100,162.253803
602.305083,100,162.612781
5.032947,100,162.981169
234.587995,100,163.351215
4.496208,100,163.729238
3.021488,100,164.09121
791.747793,100,164.440042
511.677468,100,165.580716
3.502093,100,165.954841
184.478907,100,166.313982
652.287574,100,166.668803
185.330861,100,167.04627
870.457618,100,167.406252
792.155057,100,167.76568
0.480223,100,168.116822
204.566997,100,168.498548
402.895836,100,168.859489
452.840849,100,169.225569
483.226987,100,169.603004
412.419188,100,169.99936
374.431854,100,170.401037
1.397647,100,170.765713
5.537672,100,171.141606
621.920717,100,171.513531
5.275127,100,171.890524
163.803906,100,172.262059
4.435473,100,172.637864
3.93133,100,172.99852
3.097285,100,174.28437
1.377791,100,174.640399
880.614012,100,174.992344
2.37341,100,175.348945
652.334178,100,175.731853
3.837784,100,176.102478
533.886839,100,176.461452
131.420225,100,176.815561
5.152477,100,177.198924
513.934559,100,177.564564
680.768265,100,177.924796
454.179992,100,181.70802
4.110287,100,182.084478
0.818186,100,182.443098
711.422762,100,182.792344
571.435892,100,183.161037
0.607644,100,183.522905
4.490506,100,183.889064
93.273948,100,184.258434
4.140686,100,184.629771
672.190317,100,185.880516
751.280696,100,186.228822
582.612187,100,186.612045
5.248837,100,187.010674
511.836635,100,187.362772
2.980443,100,187.744537
870.499569,100,188.10121
931.251073,100,188.450406
671.281227,100,188.809993
514.771793,100,189.182982
2.56034,100,189.542539
5.354029,100,189.922127
711.982576,100,190.281126
771.831367,100,190.646463
920.602837,100,191.004361
4.420555,100,191.389174
533.725186,100,191.761546
2.667264,100,192.131972
910.968738,100,192.485541
751.452623,100,192.847953
880.46419,100,193.201643
721.998376,100,194.461148
831.728254,100,194.816502
613.265883,100,195.179863
3.998185,100,195.552656
0.99997,100,195.908131
4.399787,100,196.291641
741.654377,100,196.650821
344.806302,100,197.014088
4.691883,100,197.390275
820.769006,100,197.755267
681.745348,100,198.106546
3.839328,100,198.478217
4.610356,100,198.83946
830.526906,100,199.199832
890.733423,100,199.572934
3.349427,100,199.940081
343.468928,100,200.305491
462.892452,100,200.666513
1.128235,100,201.027607
762.703588,100,201.380526
372.360709,100,202.654906
383.186024,100,203.025305
3.827606,100,203.406516
322.920991,100,203.770933
3.767055,100,204.149361
1.987869,100,204.507593
940.737927,100,204.889207
821.001632,100,205.249835
3.346801,100,205.631018
5.147899,100,206.017245
5.330044,100,206.407648
611.464202,100,206.77049
3.539604,100,207.164095
820.544152,100,207.530047
741.844968,100,207.886716
432.490024,100,208.256654
3.061269,100,208.628758
0.488242,100,208.976444
572.576466,100,209.330211
3.079821,100,209.694669
5.369867,100,210.073357
591.708945,100,211.36521
4.125329,100,211.748857
511.645449,100,212.109723
2.244001,100,212.470219
950.952877,100,212.817815
5.378434,100,213.199677
392.100985,100,213.556617
631.558186,100,213.9151
921.838984,100,214.300008
532.840389,100,214.665865
1.384087,100,215.022399
861.138041,100,215.371661
363.485166,100,215.726752
440.682605,100,216.064876
471.334891,100,216.439609
444.344841,100,216.801364
21.756178,100,217.1611
214.126501,100,217.52636
681.601722,100,217.875772
1.743825,100,218.230789
465.198059,100,219.453
791.075637,100,219.808738
4.812804,100,220.186465
830.684505,100,220.548806
751.375267,100,220.911454
2.08341,100,221.272096
0.799657,100,221.631343
512.105394,100,222.000535
4.138354,100,222.388751
63.89803,100,226.166232
672.602077,100,226.530181
830.928164,100,226.904825
673.734663,100,227.272039
831.809125,100,227.663804
392.788522,100,228.034418
761.343448,100,228.412391
970.883137,100,228.780874
4.310466,100,229.183394
3.917803,100,229.57546
6.192883,100,229.989255
412.583166,100,230.388822
253.17021,100,231.629519
124.668208,100,232.042454
3.507946,100,232.436358
3.275335,100,232.831156
155.069621,100,233.215797
2.285279,100,233.608392
921.048011,100,233.984663
741.07345,100,234.375983
4.523699,100,234.767078
1.397989,100,235.132836
820.773877,100,235.499141
802.640514,100,235.868096
1.256314,100,236.250614
1.63118,100,236.627923
721.21195,100,236.997539
0.529162,100,237.364113
3.224844,100,237.748369
542.313905,100,238.112212
940.410611,100,238.458831
3.319937,100,238.840681
652.112798,100,239.98558
2.288924,100,240.340994
880.326124,100,240.69109
1.031964,100,241.040938
930.364245,100,241.389706
980.732894,100,241.747637
4.250245,100,242.125714
820.72218,100,242.486086
2.295239,100,242.843992
653.125547,100,243.204033
95.339648,100,243.588212
631.604997,100,243.946449
842.033979,100,244.296082
1.808467,100,244.644636
4.351311,100,245.014336
1.221163,100,245.364678
44.382179,100,245.737309
542.371365,100,246.110129
960.195723,100,246.512947
133.420127,100,246.903317
931.511863,100,248.129126
6.128902,100,248.515656
4.392897,100,248.89231
0.71578,100,249.244676
890.670236,100,249.595404
